Time,DeviceState,UL_TPut(Kb/s),DL_TPut(Kb/s),RAT(Cell1),Band(Cell1),DL_Channel(Cell1),RSRP0(Cell1),RSRP1(Cell1),RSRP2(Cell1),RSRP3(Cell1),UL_Channel(Cell1),TXPower0(Cell1),TXPower1(Cell1),RAT(Cell2),Band(Cell2),DL_Channel(Cell2),RSRP0(Cell2),RSRP1(Cell2),RSRP2(Cell2),RSRP3(Cell2),UL_Channel(Cell2),TXPower0(Cell2),RAT(Cell3),Band(Cell3),DL_Channel(Cell3),RSRP0(Cell3),RSRP1(Cell3),RSRP2(Cell3),RSRP3(Cell3),RAT(Cell4),Band(Cell4),DL_Channel(Cell4),RSRP0(Cell4),RSRP1(Cell4),RSRP2(Cell4),RSRP3(Cell4)
2025/4/15 18:20,Free,0,0,LTE,B1,100,-80,-90,-110,-122,18100,17,10,NR,N78,630000,-122,-110,-121,-109,630000,8,NR, N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:21,Free,20,100,LTE,B1,100,-82,-92,-111,-119,18100,14,9,NR,N78,630000,-120,-120,-123,-122,630000,9.5,NR, N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:22,Free,20.5,90,LTE,B1,100,-76,-95,-109,-123,18100,9,5,NR,N78,630000,-118,-108,-120,-129,630000,5.5,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:23,Free,0,120,LTE,B1,100,-80,-90,-110,-122,18100,0,-2,NR,N78,630000,-122,-110,-121,-109,630000,0,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:24,Free,30,0,LTE,B1,100,-82,-92,-111,-119,18100,19,10,NR,N78,630000,-122,-120,-123,-122,630000,-2,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:25,Free,0,100,LTE,B1,100,-76,-95,-109,-123,18100,17,9,NR,N78,630000,-122,-108,-120,-129,630000,8,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:26,Free,20,90,LTE,B1,100,-80,-90,-110,-122,18100,14,5,NR,N78,630000,-122,-110,-121,-109,630000,9.5,NR,N1,423000,-78,-50,,,,,,,,,
2025/4/15 18:27,Free,20.5,120,LTE,B1,100,-82,-92,-111,-119,18100,9,-2,NR,N78,630000,-122,-120,-123,-122,630000,5.5,NR,N1,423000,-65,-55,,,,,,,,,
2025/4/15 18:28,Free,0,0,LTE,B1,100,-76,-95,-109,-123,18100,0,10,NR,N78,630000,-122,-108,-120,-129,630000,0,NR,N1,423000,-62,-63,,,,,,,,,
2025/4/15 18:29,Free,30,100,LTE,B1,100,-80,-90,-110,-122,18100,19,9,NR,N78,630000,-122,-110,-121,-109,630000,-2,NR,N1,423000,-78,-50,,,,,,,,,
